Location,Spectral,Season,RelStr,SR
AirP,Essential,Wet,0.027962,0.00484
Bros,Essential,Wet,0.054747,0.007
ChSh,Essential,Wet,0.036592,0.01783
FLSP,Essential,Wet,0.041836,0.01555
FanL,Essential,Wet,0.049351,0.07701
MaPkM,Essential,Wet,0.036351,0.01213
MaPkN,Essential,Wet,0.042304,0.02153
MaPkS,Essential,Wet,0.024111,0.00832
PkHi,Essential,Wet,0.049951,0.07967
ShPk,Essential,Wet,0.030722,0.01107
ShipL,Essential,Wet,0.036464,0.00778
SokoM,Essential,Wet,0.046797,0.0098
SokoN,Essential,Wet,0.029377,0.01307
TaiO,Essential,Wet,0.050222,0.05603
TsLk,Essential,Wet,0.049082,0.04427
AirP,NonEssential,Wet,0.048665,0.00484
Bros,NonEssential,Wet,0.04944,0.007
ChSh,NonEssential,Wet,0.034434,0.01783
FLSP,NonEssential,Wet,0.040512,0.01555
FanL,NonEssential,Wet,0.041287,0.07701
MaPkM,NonEssential,Wet,0.046115,0.01213
MaPkN,NonEssential,Wet,0.044915,0.02153
MaPkS,NonEssential,Wet,0.04861,0.00832
PkHi,NonEssential,Wet,0.034233,0.07967
ShPk,NonEssential,Wet,0.040951,0.01107
ShipL,NonEssential,Wet,0.039687,0.00778
SokoM,NonEssential,Wet,0.043187,0.0098
SokoN,NonEssential,Wet,0.043548,0.01307
TaiO,NonEssential,Wet,0.038523,0.05603
TsLk,NonEssential,Wet,0.037884,0.04427
AirP,Essential,Dry,0.025085,0.004
Bros,Essential,Dry,0.048395,0
ChSh,Essential,Dry,0.038112,0
FLSP,Essential,Dry,0.0413,0.00963
FanL,Essential,Dry,0.050813,0.03613
MaPkM,Essential,Dry,0.027963,0.00952
MaPkN,Essential,Dry,0.041582,0.00978
MaPkS,Essential,Dry,0.027133,0.004
PkHi,Essential,Dry,0.045442,0.02935
ShPk,Essential,Dry,0.038995,0.005
ShipL,Essential,Dry,0.030859,0
SokoM,Essential,Dry,0.050708,0.004
SokoN,Essential,Dry,0.038439,0
TaiO,Essential,Dry,0.046797,0.02258
TsLk,Essential,Dry,0.036836,0.013
AirP,NonEssential,Dry,0.048791,0.004
Bros,NonEssential,Dry,0.039878,0
ChSh,NonEssential,Dry,0.02979,0
FLSP,NonEssential,Dry,0.033297,0.00963
FanL,NonEssential,Dry,0.039607,0.03613
MaPkM,NonEssential,Dry,0.046862,0.00952
MaPkN,NonEssential,Dry,0.041423,0.00978
MaPkS,NonEssential,Dry,0.044433,0.004
PkHi,NonEssential,Dry,0.035466,0.02935
ShPk,NonEssential,Dry,0.029495,0.005
ShipL,NonEssential,Dry,0.040393,0
SokoM,NonEssential,Dry,0.037056,0.004
SokoN,NonEssential,Dry,0.032027,0
TaiO,NonEssential,Dry,0.03753,0.02258
TsLk,NonEssential,Dry,0.040222,0.013
