Pkey,Date,Time,League,Home_2.x,Away_2.x,lowq_ph,lowq_pd,lowq_pa,LowQTips,Q_max,Q_max_HA,Q70,FullH,FullA,FullResult,HalfH,HalfA,HalfResult,BetResult,Odds,HalfTime Result,HalfTime,HAD,FAD,HandiCap,HandicapOdds,HAD_WL,H-CapNet,HandHAD,HandHADOdds,Hcap_home_WL,HAD-CapNet,Hcap-Away,Hcap-away_WL,HAD-Cap_WL,TG,HiLo,OddEven,OddEvenSum
1,08/19/2018,20:30:00,,FC Emmen ,AZ Alkmaar,12,15,73,2,73,Away,70,1,4,Away,1,3,Away,W,1.4,W,1.83,0.4,0.83,NA,NA,NA,NA,"""-1""",2.15,W,1.15,"""+1""",L,H,5,Hi,Odd,-1
2,08/19/2018,20:30:00,Eng Premier,Manchester City ,Huddersfield Town,73,10,17,1,73,Home,70,6,1,Home,3,1,Home,W,1.02,W,1.28,0.02,0.28,"""-2.5/-3""",1.9,W,0.9,"""-3""",2.38,W,1.38,"""+3""",L,H,7,Hi,Odd,-1
3,08/19/2018,22:00:00,,Sunderland AFC ,Scunthorpe United,62,18,20,1,62,Home,60,3,0,Home,3,0,Home,W,1.6,W,2.12,0.6,1.12,"""-0.5/-1.0""",1.82,W,0.82,"""-1""",2.75,W,1.75,"""+1""",L,H,3,Hi,Odd,-1
4,08/19/2018,22:00:00,,Brentford ,Sheffield Wednesday,74,15,11,1,74,Home,70,2,0,Home,1,0,Home,W,1.45,W,1.89,0.45,0.89,"""-1""",1.89,W,0.89,"""-1""",2.25,W,1.25,"""+1""",L,H,2,Lo,Even,0.8
5,08/19/2018,23:00:00,Eng Premier,Brighton & Hove Albion FC ,Manchester United,12,22,66,2,66,Away,60,3,2,Home,3,1,Home,L,1.56,L,2.13,-1,-1,"""-0.5/-1.0""",1.86,L,-1,"""-1""",2.72,L,-1,"""+1""",L,D,5,Hi,Odd,-1
6,08/19/2018,06:00:00,,Sao Paulo SP ,Chapecoense SC,72,20,7,1,72,Home,70,2,0,Home,1,0,Home,W,1.48,W,2.08,0.48,1.08,NA,NA,NA,NA,"""-1""",2.57,W,1.57,"""+1""",L,H,2,Lo,Even,0.8
7,08/19/2018,07:00:00,,Racing Club ,Velez Sarsfield,69,18,13,1,69,Home,60,2,0,Home,1,0,Home,W,1.77,W,2.4,0.77,1.4,NA,NA,NA,NA,"""-1""",3.25,W,2.25,"""+1""",L,H,2,Lo,Even,0.8
8,08/19/2018,07:30:00,,Washington DC Utd ,New England Revolution,69,16,16,1,69,Home,60,2,0,Home,1,0,Home,W,1.77,W,2.25,0.77,1.25,"""-0.5/-1.0""",2.19,W,1.19,"""-1""",3,W,2,"""+1""",L,H,2,Lo,Even,0.8
9,08/20/2018,10:00:00,US Football League,Los Angeles FC ,Colorado Rapids,78,13,9,1,78,Home,70,2,0,Home,0,0,Draw,W,1.29,D,1.72,0.29,-1,"""-1.0/-1.5""",1.79,W,0.79,"""-1""",1.9,W,0.9,"""+1""",L,H,2,Lo,Even,0.8
10,08/20/2018,01:00:00,Swedish Division 1,Hammarby IF ,Örebro SK,77,13,10,1,77,Home,70,2,0,Home,1,0,Home,W,1.33,W,1.73,0.33,0.73,"""-1.0/-1.5""",1.89,W,0.89,"""-1""",2.02,W,1.02,"""+1""",L,H,2,Lo,Even,0.8
11,08/20/2018,02:30:00,Italian Division 1,Atalanta Bergamasca Calcio ,Frosinone,74,13,12,1,74,Home,70,4,0,Home,1,0,Home,W,1.24,W,1.68,0.24,0.68,"""-1.0/-1.5""",1.74,W,0.74,"""-1""",1.85,W,0.85,"""+1""",L,H,4,Hi,Even,0.8
12,08/20/2018,02:45:00,,SpVgg Greuther Fürth ,Borussia Dortmund,7,28,64,2,64,Away,60,1,1,Draw,0,0,Draw,D,1.17,D,1.5,-1,-1,"""-1.5/-2""",1.8,L,-1,"""-1""",1.6,L,-1,"""+1""",W,A,2,Lo,Even,0.8
13,08/20/2018,02:45:00,,FC Metz ,AC Ajaccio,65,22,13,1,65,Home,60,3,1,Home,1,0,Home,W,1.63,W,2.2,0.63,1.2,"""-0.5/-1.0""",1.97,W,0.97,"""-1""",2.95,W,1.95,"""+1""",L,H,4,Hi,Even,0.8
14,08/20/2018,03:00:00,Eng Premier,Crystal Palace ,Liverpool FC,9,22,68,2,68,Away,60,0,2,Away,0,1,Away,W,1.3,W,1.7,0.3,0.7,"""-1.0/-1.5""",1.81,W,0.81,"""-1""",1.93,W,0.93,"""+1""",L,H,2,Lo,Even,0.8
15,08/21/2018,02:45:00,,Derby County ,Ipswich Town,62,19,19,1,62,Home,60,2,0,Home,0,0,Draw,W,1.82,D,2.45,0.82,-1,"""-0.5/-1.0""",2.26,W,1.26,"""-1""",3.4,W,2.4,"""+1""",L,H,2,Lo,Even,0.8
