Pkey,Date,League,H,D,A,FH,FD,FA,HandH,HandA,Hand_H,Hand_A,HHH,HHD,HHA,HH_H,HH_A,Hilo,Hi,Lo,F_Hilo,F_Hi,F_Lo,H_Mean,H_SD,H_CV,D_Mean,D_SD,D_CV,A_Mean,A_SD,A_CV,Num,H_Prob,D_Prob,A_Prob,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,Stat
1,20190716,6,5,3.75,1.52,5.3,2.25,2.02,2.03,1.8,[+0.5/+1.0],[-0.5/-1.0],2.28,3.3,2.58,1,-1,2.5/2.5,1.68,2.05,1.5/1.5,2.5,1.46,4.32,0.23,0.05,3.66,0.13,0.04,1.71,0.05,0.03,9,0%,22%,78%,1,0,2,2,1,4,H,D,7.98
2,20190716,36,1.58,3.55,4.8,2.17,2.15,5,1.86,1.9,[-0.5/-1.0],[+0.5/+1.0],2.78,3.3,2.15,-1,1,2.5/2.5,1.75,1.95,1.5/1.5,2.55,1.45,1.47,0.07,0.05,4.32,0.34,0.08,5.61,0.68,0.12,3,67%,0%,33%,1,0,2,1,1,3,H,H,9.93
3,20190716,106,1.49,3.7,5.5,2.15,2.05,5.7,2.1,1.75,[-1.0/-1.0],[+1.0/+1.0],2.6,3.15,2.35,-1,1,2.0/2.5,1.8,1.9,1.5/1.5,2.04,1.79,1.49,0.04,0.02,3.85,0.16,0.04,6.47,0.53,0.08,22,64%,27%,9%,0,1,2,1,1,3,A,H,10.33
4,20190716,144,1.97,3.4,3.1,2.55,2.2,3.55,1.8,1.97,[+0.0/-0.5],[-0.0/+0.5],3.7,3.65,1.7,-1,1,2.5/2.5,1.72,2,1.5/1.5,2.5,1.46,2.02,0.09,0.04,3.5,0.13,0.04,3.33,0.23,0.07,8,38%,50%,13%,1,1,2,1,2,3,D,H,6.83
5,20190717,93,3.7,3.3,1.82,4.4,2.1,2.35,2.17,1.66,[+0.0/+0.5],[-0.0/-0.5],1.83,3.4,3.45,1,-1,2.0/2.5,1.68,2.05,1.5/1.5,2.83,1.37,3.63,0.22,0.06,3.42,0.11,0.03,1.95,0.07,0.04,4,25%,50%,25%,0,3,0,4,3,4,A,A,7.05
6,20190717,93,1.78,3.55,3.55,2.52,2.2,3.6,2.25,1.65,[-0.5/-1.0],[+0.5/+1.0],3.2,3.6,1.85,[-1],[+1],2.5/2.5,1.65,2.1,1.0/1.5,1.92,1.78,1.33,0.05,0.04,5.02,0.38,0.08,7.78,1.04,0.13,0,0%,0%,0%,2,1,4,1,3,5,H,H,12.8
7,20190717,6,1.19,5,12,1.63,2.45,9.25,NaN,NaN,NaN,NaN,1.71,3.65,3.7,[-1],[+1],2.5/2.5,1.72,2,1.5/1.5,2.5,1.46,1.22,0.05,0.04,5.86,0.52,0.09,10.9,2.42,0.22,16,81%,6%,13%,0,0,3,1,0,4,D,H,16.75
8,20190717,6,1.08,7.25,19,1.42,2.95,11.75,NaN,NaN,NaN,NaN,2.1,3.9,2.52,[-2],[+2],2.5/2.5,1.45,2.55,1.5/1.5,2.1,1.65,1.11,0.02,0.02,8.26,0.87,0.11,17.57,3.55,0.2,3,100%,0%,0%,1,0,4,0,1,4,H,H,25.83
9,20190717,6,1.6,3.45,4.8,2.15,2.1,5.3,1.86,1.91,[-0.5/-1.0],[+0.5/+1.0],2.9,3.25,2.1,[-1],[+1],2.5/2.5,2,1.72,1.5/1.5,2.92,1.35,1.71,0.06,0.03,3.54,0.12,0.03,4.52,0.34,0.07,16,50%,44%,6%,1,2,2,3,3,5,A,A,8.05
10,20190717,6,1.68,3.25,4.55,2.32,1.95,5.4,2.02,1.76,[-0.5/-1.0],[+0.5/+1.0],3.2,3.25,1.98,[-1],[+1],2.5/2.5,2.35,1.52,1.5/1.5,3.55,1.25,1.85,0.09,0.05,3.42,0.13,0.04,3.9,0.35,0.09,21,48%,43%,10%,2,1,3,1,3,4,H,H,7.32
11,20190717,6,1.9,3.15,3.6,2.55,2,4.25,NaN,NaN,NaN,NaN,3.8,3.4,1.75,[-1],[+1],2.5/2.5,2.2,1.59,1.5/1.5,3.3,1.28,1.93,0.1,0.05,3.37,0.15,0.04,3.67,0.23,0.06,21,48%,19%,33%,1,0,1,2,1,3,H,A,7.04
