H,HSD,HCV,D,DSD,DCV,A,ASD,ACV,Goal,Result
4.317,0.232,0.054,3.661,0.13,0.036,1.713,0.046,0.027,2-2',D
1.467,0.068,0.046,4.316,0.342,0.079,5.612,0.677,0.121,2-1',H
1.488,0.037,0.025,3.854,0.156,0.041,6.475,0.526,0.081,2-1',H
2.022,0.088,0.043,3.5,0.134,0.038,3.333,0.234,0.07,2-1',H
3.629,0.224,0.062,3.423,0.113,0.033,1.946,0.068,0.035,0-4',A
1.327,0.053,0.04,5.022,0.382,0.076,7.781,1.044,0.134,4-1',H
1.218,0.048,0.039,5.859,0.52,0.089,10.895,2.417,0.222,3-1',H
1.105,0.022,0.02,8.262,0.868,0.105,17.572,3.551,0.202,4-0',H
1.713,0.056,0.033,3.536,0.123,0.035,4.519,0.335,0.074,2-3',A
1.854,0.086,0.047,3.421,0.134,0.039,3.897,0.349,0.09,3-1',H
1.928,0.096,0.05,3.37,0.149,0.044,3.672,0.232,0.063,1-2',A
1.129,0.029,0.026,7.541,0.697,0.092,15.213,2.486,0.163,2-1',H
2.937,0.116,0.04,2.979,0.083,0.028,2.51,0.086,0.034,0-1',A
2.038,0.089,0.044,3.175,0.125,0.039,3.523,0.303,0.086,2-0',H
2.867,0.132,0.046,2.866,0.112,0.039,2.537,0.107,0.042,0-1',A
1.559,0.043,0.028,4.101,0.181,0.044,5.224,0.476,0.091,5-0',H
1.524,0.101,0.066,4.274,0.297,0.07,5.514,0.667,0.121,4-0',H
1.739,0.118,0.068,3.768,0.194,0.051,4.332,0.595,0.137,2-2',D
1.774,0.102,0.057,3.817,0.181,0.047,4.005,0.29,0.073,3-1',H
1.233,0.024,0.02,5.356,0.35,0.065,11.551,1.742,0.151,2-0',H
1.431,0.035,0.024,3.891,0.16,0.041,7.425,0.806,0.109,1-1',D
2.319,0.071,0.031,2.823,0.087,0.031,3.275,0.158,0.048,1-0',H
3.641,0.502,0.138,3.425,0.129,0.038,1.917,0.134,0.07,1-2',A
1.6,0.047,0.029,4.027,0.176,0.044,4.375,0.244,0.056,2-1',H
1.202,0.037,0.031,6.05,0.489,0.081,10.381,1.414,0.136,2-1',H
