Pla,ActWt,Dr,Rtg,RtgChange,Age,RC,Track,Course,Dist,Class,Daysincelastmatch,COC,No1,No2,No3,NoStarts,hrsW,hrsP,hrsNo2Per,hrsNo3Per,R10day,X1516TW,X1516T2,X1516T3,X1516T4,X1516TWper,X1516TTP,X1516TPper,X1516JW,X1516J3,X1516J4,X1516JR,X1516JWper,X1516JPper,RecencyFinish.average,Weight.Rel.,Weight.Rel.Dist
a01,127,4,104,9,4,ST,Turf,C,1400,1,0,AUS,3,2,0,8,0.38,0.63,0.25,0,1,41,61,39,44,0.08723,141,0.3,81,39,44,470,0.17234,0.38511,0.29,5.143,7200.06
a01,119,3,47,-1,5,ST,Turf,B+2,1400,4,80,AUS,1,2,0,18,0.06,0.17,0.11,0,0,16,29,26,22,0.03774,71,0.16745,12,21,23,367,0.0327,0.14441,0.1,122.929,172100.04
a14,117,7,66,-2,7,ST,Turf,A,1200,3,39,NZ,2,9,2,33,0.06,0.39,0.27,0.06,0,15,26,20,16,0.05415,61,0.22022,4,9,9,227,0.01762,0.10573,0.03,-4.786,-5742.84
a11,129,11,53,-2,5,ST,Turf,C+3,1600,4,31,AUS,0,0,0,10,0,0,0,0,2,10,16,13,11,0.06757,39,0.26351,3,5,9,103,0.02913,0.1165,-0.13,2.786,4457.12
a08,121,9,28,-2,4,HV,Turf,C+3,1650,5,24,NZ,0,0,2,16,0,0.13,0,0.13,1,9,20,21,24,0.03,50,0.16667,61,39,25,399,0.15288,0.39348,0,-2.667,-4400.055
a08,108,4,17,-3,7,ST,Turf,A+3,2000,5,11,AUS,2,3,3,44,0.05,0.18,0.07,0.07,1,5,13,14,13,0.02315,32,0.14815,1,2,4,119,0.0084,0.05882,-0.13,-11.636,-23272.8
a10,123,9,70,-2,4,ST,Turf,A,1600,3,14,NZ,0,0,0,2,0,0,0,0,1,47,32,52,38,0.09307,131,0.25941,27,29,27,386,0.06995,0.24611,0.15,2,3200
a12,127,7,55,-1,5,ST,Turf,C+3,1800,4,22,GB,0,0,0,9,0,0,0,0,1,17,31,22,19,0.05313,70,0.21875,35,35,27,296,0.11824,0.33108,-0.01,4.077,7338.42
a07,126,4,52,0,4,HV,Turf,A,1200,4,0,NZ,0,2,2,2,0,1,1,1,0,23,11,13,5,0.221153846,47,0.451923077,11,13,8,125,0.088,0.264,0,3.916666667,146500
a04,120,2,43,-2,3,ST,Turf,A+3,1400,R,45,AUS,0,0,0,5,0,0,0,0,1,24,14,18,18,0.14634,56,0.34146,6,14,12,175,0.03429,0.16,-0.12,-3.571,-4999.96
