Country,Age,ImportType,No1,No2,No3,NoR,Last10R,RaceIndex,RC,Track,Course,Dist,G,RaceClass,Dr,Rtg,Trainer,Jockey,Win.Odds,AcctWt,DeclarHorseWt,Pla
AUS,4,PP,0,0,0,0,0,90,ST,Turf,B+2,1000,GF,3,6,65,DEFerraris,DWhyte,70,118,993,10
NZ,3,PPG,0,1,0,1,1,102,ST,Turf,C,1000,GF,4R,2,52,JSize,KTeetan,4.4,122,1094,2
AUS,9,ISG,8,5,6,74,2,139,HV,Turf,A,1650,G,5,10,36,CWChang,ODoleuze,16,131,1160,10
AUS,9,ISG,8,5,6,74,2,95,HV,Turf,B,1200,G,5,6,38,CWChang,ODoleuze,15,131,1155,4
AUS,9,ISG,8,5,6,74,2,1,ST,Turf,B,1200,G,5,1,39,CWChang,MChadwick,10,128,1154,8
AUS,9,ISG,8,5,6,74,2,778,ST,Turf,B+2,1400,GF,4,6,43,CWChang,MChadwick,38,116,1166,6
AUS,9,ISG,8,5,6,74,2,710,ST,Turf,C,1400,GY,4,7,45,CWChang,MChadwick,17,118,1164,9
AUS,9,ISG,8,5,6,74,2,671,ST,Turf,A+3,1400,G,4,13,47,CWChang,MChadwick,33,120,1161,9
AUS,9,ISG,8,5,6,74,2,584,ST,Turf,A,1400,G,4,7,48,CWChang,MChadwick,12,122,1160,3
AUS,9,ISG,8,5,6,74,2,493,ST,Turf,A,1600,G,4,2,49,CWChang,MChadwick,69,122,1150,4
AUS,9,ISG,8,5,6,74,2,399,ST,Turf,C+3,1200,G,4,3,52,CWChang,KTeetan,46,125,1158,10
AUS,9,ISG,8,5,6,74,2,339,HV,Turf,C,1650,G,4,8,54,CWChang,HNWong,55,121,1153,12
AUS,9,ISG,8,5,6,74,2,284,ST,Turf,A+3,1200,G,4,4,56,CWChang,GBenoist,36,127,1156,8
AUS,9,ISG,8,5,6,74,2,189,ST,Turf,B+2,1400,G,4,5,58,CWChang,ZPurton,19,132,1141,7
AUS,9,ISG,8,5,6,74,2,134,ST,Turf,A,1400,GF,4,8,60,CWChang,HNWong,44,123,1140,12
AUS,8,ISG,8,5,6,74,2,78,ST,Turf,B+2,1200,GY,4,3,60,CWChang,DWhyte,16,132,1138,9
AUS,8,ISG,8,5,6,74,2,761,HV,Turf,A,1200,GF,3,5,63,ASCruz,MChadwick,10,118,1166,7
AUS,8,ISG,8,5,6,74,2,679,ST,Turf,A+3,1400,GF,3,11,65,ASCruz,KCNg,52,115,1175,5
AUS,9,ISG,8,5,6,74,2,624,ST,Turf,C,1400,G,3,1,67,ASCruz,KCNg,16,115,1166,7
AUS,9,ISG,8,5,6,74,2,482,ST,Turf,C+3,1000,G,3,3,68,ASCruz,KCNg,82,116,1123,10
AUS,9,ISG,8,5,6,74,2,327,ST,Turf,A+3,1400,GF,3,1,68,ASCruz,ASuborics,17,123,1190,12
AUS,8,ISG,8,5,6,74,2,291,ST,Turf,C+3,1400,GF,3,5,66,ASCruz,MChadwick,9.6,120,1183,2
AUS,9,ISG,8,5,6,74,2,235,ST,Turf,A,1200,GF,3,1,66,ASCruz,MChadwick,33,120,1177,7
AUS,9,ISG,8,5,6,74,2,199,ST,Turf,C,1200,GF,3,8,61,ASCruz,MChadwick,40,116,1181,1
AUS,9,ISG,8,5,6,74,2,166,ST,Turf,A,1400,GF,3,11,63,ASCruz,MChadwick,33,113,1171,11
AUS,9,ISG,8,5,6,74,2,108,HV,Turf,B,1650,G,3,6,63,ASCruz,MChadwick,4,116,1162,9
