Round,Date,N1,N2,N3,N4,N5,N6,NS
19001,43468,8,23,25,30,32,45,24
19002,43470,12,13,16,19,23,45,2
19003,43473,4,5,12,23,30,40,10
19004,43475,6,7,28,31,36,43,23
19005,43478,10,18,35,37,48,49,27
19006,43480,10,16,17,33,44,48,7
19007,43482,16,18,28,35,36,41,37
19008,43484,13,24,31,34,44,47,8
19009,43487,3,19,25,30,33,48,44
19010,43489,11,18,33,41,43,46,36
19011,43491,14,27,29,41,45,46,21
19012,43494,3,10,14,24,32,45,29
19013,43496,18,22,26,31,33,41,27
19014,43499,5,6,13,19,34,35,39
19015,43502,2,4,11,15,19,29,1
19016,43505,1,19,29,34,39,49,43
19017,43508,9,17,26,31,32,40,27
19018,43510,5,8,16,20,43,46,11
19019,43512,3,7,8,17,19,23,12
19020,43515,2,5,8,13,16,33,41
19021,43517,16,29,36,39,42,49,34
19022,43519,13,14,15,21,33,49,1
19023,43522,9,12,13,19,21,46,15
19024,43524,22,24,25,30,32,43,11
19025,43527,21,24,26,35,44,47,8
19026,43529,10,16,28,32,34,49,45
19027,43531,8,15,17,23,39,44,40
19028,43533,13,32,34,35,41,46,30
19029,43536,6,21,27,33,38,47,46
19030,43538,4,10,25,28,40,43,39
19031,43540,5,9,12,23,31,43,29
19032,43543,4,18,23,38,40,46,15
19033,43545,7,12,22,32,37,45,47
19034,43547,10,11,15,39,46,49,21
19035,43550,2,3,10,21,31,35,11
19036,43552,3,5,17,23,41,44,40
19037,43554,15,17,18,37,39,49,31
19038,43557,6,10,15,21,24,28,49
19039,43559,29,34,38,42,44,47,36
19040,43561,8,21,34,37,41,45,49
19041,43564,3,14,17,23,32,43,36
19042,43566,6,18,32,38,41,45,33
19043,43568,3,15,22,35,40,49,39
19044,43571,11,20,30,32,33,43,34
19045,43575,28,30,32,37,39,47,23
19046,43580,11,13,18,21,28,34,19
19047,43582,2,8,14,21,32,35,4
19048,43585,1,29,32,43,45,49,5
19049,43587,1,6,19,23,45,47,49
19050,43589,6,13,19,20,24,35,43
19051,43592,6,12,35,39,42,44,22
19052,43594,3,4,5,24,29,32,2
19053,43599,10,12,14,30,37,41,5
19054,43601,1,4,7,23,37,38,34
19055,43604,1,2,9,16,30,41,35
19056,43606,4,7,21,24,35,41,18
19057,43608,11,13,14,17,33,43,27
19058,43610,12,14,23,30,40,48,1
19059,43613,22,29,37,42,45,49,47
19060,43615,12,15,16,31,36,46,3
19061,43617,3,13,19,23,35,43,26
19062,43620,16,21,24,28,37,40,48
19063,43622,6,13,21,24,32,47,38
19064,43625,3,8,24,27,28,49,44
19065,43627,8,19,20,21,25,37,13
19066,43629,3,6,21,31,33,38,45
19067,43631,7,8,17,30,42,44,24
19068,43634,18,23,26,29,35,48,36
19069,43636,9,11,15,21,25,33,46
19070,43638,13,29,30,33,43,47,16
19071,43641,23,25,29,32,40,46,13
19072,43643,12,20,33,42,46,47,27
19073,43645,9,13,22,29,31,46,45
19074,43648,13,14,15,42,45,48,2
19075,43650,1,2,12,15,24,44,14
19076,43652,7,8,10,11,28,42,29
19077,43655,3,5,20,31,39,42,25
