Location,Oyster_ID,number,MP_ID,plastictype,shape,colour,area,length,width
HK_KLHLW,SKY3N1,1,SK31-001,PET,Fiber,Transparent,36840.906,2409.634,39.589
HK_KLHLW,SKY3N1,2,SK31-002,PET,Fiber,Transparent,15004.237,1073.256,29.209
HK_KLHLW,SKY3N1,3,SK31-003,PET,Fiber,Transparent,22009.642,1968.858,17.993
HK_KLHLW,SKY3N1,4,SK31-004,PET,Fiber,Transparent,7942.732,101.645,98.473
HK_KLHLW,SKY3N1,5,SK31-005,PE-LD,Pellet,White,1583.638,83.303,83.303
HK_KLHLW,SKY3N1,6,SK31-006,PS,Firm,Transparent,4012.272,83.587,82.048
HK_KLHLW,SKY3N1,7,SK31-007,PP,Fragment,White,17401.315,245.396,64.377
HK_KLHLW,SKY3N1,8,SK31-008,PP,Fragment,White,30862.82,330.103,129.674
HK_KLHLW,SKY3N1,9,SK31-009,PP,Firm,Transparent,17850.11,578.036,55.19
HK_KLHLW,SKY3N1,10,SK31-010,PP,Firm,Transparent,3528.415,112.783,40.973
HK_KLHLW,SKY3N1,11,SK31-011,PP,Firm,Transparent,3521.402,83.408,70.403
HK_KLHLW,SKY3N1,12,SK31-012,PP,Fragment,White,4604.821,111.674,66.185
HK_KLHLW,SKY3N1,13,SK31-013,PP,Fragment,White,4068.371,123.305,66.782
HK_KLHLW,SKY3N1,14,SK31-014,PP,Fragment,Transparent,5867.056,155.976,43.203
HK_KLHLW,SKY3N1,15,SK31-015,PP,Firm,Transparent,6138.203,129.161,60.512
HK_KLHLW,SKY3N2,1,SK31-016,PET,fragment,White,25798.639,217.76,164.768
HK_KLHLW,SKY3N2,2,SK31-017,PET,fragment,White,2950.767,59.216,64.777
HK_KLHLW,SKY3N2,3,SK31-018,PET,fragment,White,1410.725,45.898,42.4
HK_KLHLW,SKY3N2,4,SK31-019,PET,Fragment,White,3360.091,103.805,66.698
HK_KLHLW,SKY3N2,5,SK31-020,PET,Fragment,White,5803.211,154.42,58.293
HK_KLHLW,SKY3N2,6,SK31-021,PET,Firm,Transparent,2329.3,144.304,27.585
HK_KLHLW,SKY3N2,7,SK31-022,PE-LD,fragment,Transparent,19998.1,291.783,70.85
HK_KLHLW,SKY3N2,8,SK31-023,PE-LD,Fragment,Transparent,5968.33,129.723,61.226
HK_KLHLW,SKY3N2,9,SK31-024,PP,fragment,White,46921.579,435.678,128.557
HK_KLHLW,SKY3N2,10,SK31-025,PP,fragment,White,7683.109,112.726,141.445
HK_KLHLW,SKY3N2,11,SK31-026,PP,Firm,Transparent,3492.08,71.268,68.438
HK_KLHLW,SKY3N2,12,SK31-027,PP,Firm,White,37903.624,395.259,88.81
HK_KLHLW,SKY3N2,13,SK31-028,PP,Fragment,White,8189.154,146.344,131.71
HK_KLHLW,SKY3N2,14,SK31-029,PP,Fragment,White,22701.456,295.601,124.133
HK_KLHLW,SKY3N2,15,SK31-030,PP,Firm,White,7192.562,128.457,81.915
HK_KLHLW,SKY3N2,16,SK31-031,PP,Fragment,White,20543.687,217.805,197.587
HK_KLHLW,SKY3N2,17,SK31-032,PP,Firm,White,7420.736,118.71,110.413
HK_KLHLW,SKY3N2,18,SK31-033,PP,Fragment,Transparent,7151.415,145.418,97.706
HK_KLHLW,SKY3N2,19,SK31-034,PP,Fragment,White,10848.691,203.302,107.285
HK_KLHLW,SKY3N2,20,SK31-035,PP,Fragment,White,5197.24,92.941,88.93
HK_KLHLW,SKY3N2,21,SK31-036,PP,Fragment,White,5197.24,92.941,88.93
HK_KLHLW,SKY3N2,22,SK31-037,PP,Fragment,White,6314.035,268.417,35.463
HK_KLHLW,SKY3N2,23,SK31-038,PP,Fragment,White,39474.414,337.042,208.902
HK_KLHLW,SKY3N2,24,SK31-039,PP,Fragment,White,68612.517,706.709,122.04
HK_KLHLW,SKY3N3,1,SK31-040,PET,Fragment,White,2940.541,85.576,41.435
HK_KLHLW,SKY3N3,2,SK31-041,PET,Fiber,Transparent,9878.159,532.595,23.882
HK_KLHLW,SKY3N3,3,SK31-042,PET,Fiber,Transparent,12916.874,644.309,23.287
HK_KLHLW,SKY3N3,4,SK31-043,PET,Fiber,Transparent,35062.089,1027.646,33.774
HK_KLHLW,SKY3N3,5,SK31-044,PVC,Fragment,White,14258.583,160.656,138.53
HK_KLHLW,SKY3N3,6,SK31-045,PE-LD,Fragment,Transparent,3160.263,82.559,63.037
HK_KLHLW,SKY3N3,7,SK31-046,PE-LD,Fragment,White,3197.663,78.347,69.862
HK_KLHLW,SKY3N3,8,SK31-047,PP,Fragment,Transparent,2379.547,62.404,57.083
HK_KLHLW,SKY3N3,9,SK31-048,PP,Fragment,White,846.165,43.512,26.036
HK_KLHLW,SKY3N3,10,SK31-049,PP,Fragment,White,4436.523,115.57,57.45
HK_KLHLW,SKY3N3,11,SK31-050,PP,Fragment,White,2748.868,73.514,69.627
HK_KLHLW,SKY3N3,12,SK31-051,PP,Fragment,White,5465.011,128.571,93.799
HK_KLHLW,SKY3N3,13,SK31-052,PP,Fragment,White,9578.963,158.783,69.223
HK_KLHLW,SKY3N3,14,SK31-053,PP,Fragment,White,2524.47,108.391,43.78
HK_KLHLW,SKY3N3,15,SK31-054,PP,Fragment,Transparent,5773.557,101.714,101.645
HK_KLHLW,SKY3N3,16,SK31-055,PP,Fragment,White,4286.925,117.256,70.395
HK_KLHLW,SKY3N3,17,SK31-056,PP,Fragment,White,5717.458,138.277,53.707
HK_KLHLW,SkY3N8,1,SK31-057,PET,Fiber,Transparent,2334.869,183.306,11.557
HK_KLHLW,SkY3N8,2,SK31-058,PET,Fiber,Transparent,4650.932,389.43,20.832
HK_KLHLW,SkY3N8,3,SK31-059,PET,Fiber,Transparent,3482.051,302.485,10.78
HK_KLHLW,SkY3N8,4,SK31-060,PP,Fragment,White,120338.55,553.938,323.622
HK_KLHLW,SkY3N9,1,SK31-061,PET,Fiber,Transparent,1811.714,189.533,7.111
HK_KLHLW,SkY3N9,2,SK31-062,PET,Fiber,Transparent,12168.373,660.141,19.221
HK_KLHLW,SkY3N9,3,SK31-063,PP,Fragment,White,5422.628,118.311,64.402
HK_KLHLW,SkY3N9,4,SK31-064,PP,Fragment,Transparent,20579.152,337.319,168.127
HK_KLHLW,SkY3N9,5,SK31-065,PP,Fragment,White,6865.391,133.422,65.264
HK_KLHLW,SkY3N9,6,SK31-066,PP,Firm,Transparent,22159.584,261.02,113.242
HK_KLHLW,SkY3N9,7,SK31-067,PP,Fragment,White,6855.879,150.295,59.463
HK_KLHLW,SkY3N9,8,SK31-068,PE-HD,Fragment,White,7323.951,108.001,80.827
HK_KLHLW,SkY3N9,9,SK31-069,PE-HD,Fragment,White,130750.306,590.55,385.178
HK_KLHLW,SkY3N9,10,SK31-070,PS,Pellet,White,222.944,58.039,58.039
HK_KLHLW,SKY3N1,1,SK250-001,PS,Foam,White,6887889.04,3475.617,2328.513
CN_ZS,ZS1,1,ZS31-001,PET,Firm,Transparent,4532.939,287.099,25.329
CN_ZS,ZS1,2,ZS31-002,PET,Firm,Transparent,3768.74,486.813,13.736
CN_ZS,ZS1,3,ZS31-003,PE-LD,Fragment,White,40580.905,396.294,175.525
CN_ZS,ZS1,4,ZS31-004,PE-LD,Fragment,White,3095.984,74.883,69.11
CN_ZS,ZS1,5,ZS31-005,PE-LD,Fragment,White,25440.629,324.886,190.074
CN_ZS,ZS1,6,ZS31-006,PP,Fragment,White,11952.85,236.012,66.95
CN_ZS,ZS1,7,ZS31-007,PP,Fragment,White,6890.851,106.76,99.672
CN_ZS,ZS1,8,ZS31-008,PP,Fragment,White,5780.477,141.2,141.2
CN_ZS,ZS1,9,ZS31-009,PP,Fragment,White,11515.232,306.583,50.098
CN_ZS,ZS1,10,ZS31-010,PP,Fragment,White,3559.729,94.098,71.662
CN_ZS,ZS1,11,ZS31-011,PP,Fragment,White,14180.13,203.704,155.378
CN_ZS,ZS1,12,ZS31-012,PP,Fragment,White,2410.165,113.434,48.558
CN_ZS,ZS1,13,ZS31-013,PS,Fragment,White,8393.121,233.113,78.041
CN_ZS,ZS1,14,ZS31-014,PS,Fragment,White,18713.068,276.019,159.506
CN_ZS,ZS1,15,ZS31-015,PS,Fragment,White,6126.652,116.449,83.196
CN_ZS,ZS1,16,ZS31-016,PS,Fragment,White,19202.939,304.086,118.242
CN_ZS,ZS1,17,ZS31-017,PS,Fragment,White,44852.579,352.395,243.788
CN_ZS,ZS1,18,ZS31-018,PS,Firm,Transparent,6747.188,152.113,78.325
CN_ZS,ZS1,19,ZS31-019,PS,Fragment,White,2932.694,108.362,73.402
CN_ZS,ZS1,20,ZS31-020,PS,Fragment,White,91416.441,518.247,365.331
CN_ZS,ZS1,21,ZS31-021,PS,Fragment,White,4330.459,110.564,89.834
CN_ZS,ZS1,22,ZS31-022,PS,Fragment,White,10235.036,131.271,129.098
CN_ZS,ZS1,23,ZS31-023,PS,Fragment,White,7713.834,175.322,65.458
CN_ZS,ZS1,24,ZS31-024,PS,Fragment,White,42723.274,279.553,238.496
CN_ZS,ZS1,25,ZS31-025,PS,Fragment,White,7857.529,176.417,64.351
CN_ZS,ZS1,26,ZS31-026,PS,Fragment,White,6191.968,138.386,65.707
CN_ZS,ZS1,27,ZS31-027,PS,Fragment,White,24487.013,230.045,202.583
CN_ZS,ZS1,28,ZS31-028,PS,Fragment,White,5081.594,142.25,51.686
CN_ZS,ZS2,1,ZS31-029,PET,Fiber,Transparent,21582.698,1033.591,11.764
CN_ZS,ZS2,2,ZS31-030,PET,Fiber,Transparent,5152.425,371.726,13.453
CN_ZS,ZS2,3,ZS31-031,PET,Fiber,Transparent,16873.126,1116.786,22.081
CN_ZS,ZS2,4,ZS31-032,PE-LD,Fragment,Transparent,10089.81,257.261,54.224
CN_ZS,ZS2,5,ZS31-033,PP,Fragment,White,13202.556,228.234,55.524
CN_ZS,ZS2,6,ZS31-034,PP,Firm,White,262179.641,769.062,463.062
CN_ZS,ZS2,7,ZS31-035,PP,Firm,White,181407.932,947.222,120.642
CN_ZS,ZS2,8,ZS31-036,PP,Fragment,Transparent,4275.235,88.155,79.131
CN_ZS,ZS2,9,ZS31-037,PP,Firm,White,90056.719,823.526,157.965
CN_ZS,ZS2,10,ZS31-038,PP,Fragment,Orange,15431.725,166.112,120.2
CN_ZS,ZS2,11,ZS31-039,PS,Pellet,White,2390.981,59.825,48.152
CN_ZS,ZS2,12,ZS31-040,PS,Fragment,White,1100.745,64.467,25.189
CN_ZS,ZS2,13,ZS31-041,PS,Fragment,White,27693.218,104.336,388.28
CN_ZS,ZS2,14,ZS31-042,PS,Fragment,White,12086.907,195.117,85.394
CN_ZS,ZS2,15,ZS31-043,PS,Fragment,White,4081.487,110.981,53.573
CN_ZS,ZS2,16,ZS31-044,PS,Fragment,White,2878.545,82.652,54.927
CN_ZS,ZS2,17,ZS31-045,PS,Fragment,Transparent,977.257,40.358,28.181
