Pkey,Label,PlasticType,PlasticID,PlasticShape,Area,Perim.,Length,FeretX,FeretY,FeretAngle,MinFeret,Location
1,MC_S02,PE,PE_1,Fragment,806.56,80.327,40.164,10678.4,4260,135,28.4,MC
2,MC_S02,PE,PE_2,Fragment,15324.64,595.564,261.835,6588.8,9996.8,40.601,136.41,MC
3,MC_S02,PE,PE_3,Fragment,4032.8,217.455,102.398,6106,10309.2,56.31,56.8,MC
4,MC_S02,PET,PET_1,Fragment,10485.28,562.291,281.146,4089.6,6816,45,76.521,MC
5,MC_S02,PET,PET_2,Fragment,10485.28,669,296.505,766.8,7526,16.699,107.04,MC
6,MC_S02,PET,PET_3,Fragment,9678.72,538.764,261.835,8037.2,8406.4,130.601,75.689,MC
7,MC_S02,PP,PP_1,Fragment,9678.72,321.309,127.009,7242,1050.8,116.565,113.6,MC
8,MC_S02,PP,PP_2,Fragment,200026.88,3210.729,1008.5,1476.8,2499.2,32.347,524.578,MC
9,MC_S02,PP,PP_3,Fragment,5645.92,257.618,102.398,8576.8,2101.6,123.69,85.2,MC
10,MC_S02,PP,PP_4,Fragment,1613.12,120.491,63.504,1988,2641.2,153.435,28.4,MC
11,MC_S02,PP,PP_5,Fragment,17744.32,491.709,221.811,9173.2,3237.6,39.806,139.753,MC
12,MC_S02,PP,PP_6,Fragment,80656,1525.037,602.455,9996.8,3834,98.13,271.5,MC
13,MC_S02,PP,PP_7,Fragment,72590.4,1725.855,602.455,7696.4,5651.6,81.87,240.066,MC
14,MC_S02,PP,PP_8,Fragment,7259.04,274.255,120.491,284,6475.2,135,85.2,MC
15,MC_S02,PP,PP_9,Fragment,12904.96,418.273,181.849,8917.6,9116.4,38.66,114.409,MC
16,MC_S03,PET,PET_1,Fibre,79042.88,3220.474,1189.414,2783.2,1760.8,146.689,432.501,MC
17,MC_S03,PET,PET_2,Fibre,154859.52,5420.22,1392.759,5651.6,4941.6,73.413,1093.376,MC
18,MC_S03,PET,PET_3,Fibre,95980.64,2983.529,1092.57,6901.2,4061.2,152.103,421.516,MC
19,MC_S03,PET,PET_4,Fibre,15324.64,936.364,401.637,255.6,4544,98.13,109.361,MC
20,MC_S03,PET,PET_5,Fibre,25003.36,1163.564,433.507,5964,5964,31.608,216.073,MC
21,MC_S03,PP,PP_1,Fragment,2419.68,193.927,89.809,8037.2,3862.4,108.435,28.4,MC
22,MC_S05,PET,PET_1,Fragment,21777.12,588.673,216.288,3834,1448.4,113.199,170.4,MC
23,MC_S05,PET,PET_2,Fibre,58878.88,3350.71,980.931,8179.2,9627.6,67.891,660.962,MC
24,MC_S05,PET,PET_3,Fragment,18550.88,645.473,254.017,6759.2,9144.8,153.435,136.696,MC
25,MC_S05,PP,PP_1,Fragment,8872.16,401.637,181.849,4430.4,2925.2,128.66,100.409,MC
26,MC_S05,PP,PP_2,Fragment,3226.24,160.655,80.327,8662,3152.4,135,56.8,MC
27,MC_S05,PP,PP_3,Fragment,4032.8,217.455,102.398,8576.8,3180.8,123.69,56.8,MC
28,MC_S05,PP,PP_4,Fragment,8872.16,354.582,152.939,3237.6,3322.8,21.801,85.2,MC
29,MC_S05,PP,PP_5,Fragment,4839.36,217.455,102.398,6361.6,4032.8,146.31,56.8,MC
30,MC_S05,PP,PP_6,Fragment,4032.8,257.618,102.398,9883.2,4742.8,146.31,85.2,MC
31,MC_S05,PP,PP_7,Fragment,14518.08,418.273,179.617,9116.4,6020.8,18.435,113.6,MC
32,MC_S05,PS,PS_1,Fragment,6452.48,297.782,142,7355.6,7128.4,53.13,85.2,MC
33,MC_S05,PS,PS_2,Fragment,15324.64,428.018,181.849,8605.2,7810,141.34,113.6,MC
34,MC_S07,PET,PET_1,Fibre,60492,2103.965,863.752,8264.4,6276.4,43.668,252.552,MC
35,MC_S07,PP,PP_1,Fragment,4032.8,217.455,102.398,5367.6,2215.2,123.69,56.8,MC
36,MC_S07,PP,PP_2,Fragment,2419.68,193.927,89.809,7810,3493.2,108.435,28.4,MC
37,MC_S07,PP,PP_3,Fragment,2419.68,160.655,80.327,8860.8,5310.8,135,56.8,MC
38,MC_S07,PP,PP_4,Fragment,3226.24,240.982,102.398,5509.6,5367.6,146.31,56.8,MC
39,MC_S07,PP,PP_5,Fragment,7259.04,297.782,127.009,7014.8,6191.2,26.565,85.2,MC
40,MC_S07,PP,PP_6,Fragment,8872.16,387.855,179.617,2499.2,6645.6,71.565,56.8,MC
41,MC_S07,PP,PP_7,Fragment,2419.68,193.927,89.809,7923.6,6872.8,108.435,28.4,MC
42,MC_S07,PP,PP_8,Fragment,6452.48,297.782,127.009,4572.4,8207.6,116.565,85.2,MC
43,SZ_S01,PET,PET_1,Fragment,45973.92,1056.855,465.795,1107.6,5168.8,52.431,207.8,SZ
44,SZ_S02,PS,PS_1,Fragment,5645.92,257.618,102.398,7952,198.8,123.69,85.2,SZ
45,SZ_S02,PS,PS_2,Fragment,2419.68,193.927,89.809,7866.8,738.4,108.435,28.4,SZ
46,SZ_S06,PET,PET_1,Fibre,25809.92,1130.291,373.544,5310.8,1874.4,98.746,170.4,SZ
47,SZ_S06,PET,PET_2,Fragment,29842.72,669,269.426,1107.6,3180.8,18.435,168.177,SZ
48,SZ_S06,PET,PET_3,Fibre,50813.28,1836.601,775.169,5339.2,3578.4,28.443,171.929,SZ
49,SZ_S06,PET,PET_4,Fibre,29036.16,1531.928,625.445,5282.4,3834,39.472,207.755,SZ
50,SZ_S06,PET,PET_5,Fibre,73396.96,2635.838,984.215,1476.8,6390,133.831,248.259,SZ
51,SZ_S06,PP,PP_1,Fragment,12098.4,451.546,204.795,2669.6,2556,33.69,106.094,SZ
52,SZ_S06,PP,PP_2,Fibre,22583.68,1421.182,623.508,3976,4544,149.931,165.457,SZ
53,SZ_S06,PP,PP_3,Fragment,29842.72,893.346,351.289,2186.8,6617.2,14.036,167.812,SZ
54,SZ_S06,PP,PP_4,Fragment,37908.32,1040.219,434.436,1732.4,6702.4,11.31,142,SZ
55,SZ_S06,PP,PP_5,Fragment,4839.36,217.455,102.398,4970,7781.6,123.69,56.8,SZ
56,SZ_S07,PET,PET_1,Fibre,1006586.88,35473.184,35473.184,2470.8,2073.2,141.464,4960.649,SZ
57,SZ_S08,PET,PET_1,Fibre,58072.32,4019.711,1704.473,2925.2,5083.6,79.439,302.192,SZ
58,SZ_S08,PET,PET_2,Fibre,806.56,80.327,40.164,2868.4,5083.6,135,28.4,SZ
59,SZ_S08,PP,PP_1,Fragment,8065.6,354.582,152.939,965.6,7071.6,111.801,85.2,SZ
60,TS_S11,PE,PE_1,Fragment,8065.6,321.309,127.009,8434.8,5822,116.565,100.409,TS
61,TS_S11,PE,PE_2,Fragment,9678.72,411.382,190.513,823.6,6219.6,116.565,85.2,TS
62,TS_S11,PE,PE_3,Fragment,4839.36,240.982,120.491,6674,6958,135,76.248,TS
63,TS_S11,PET,PET_1,Fragment,19357.44,508.346,216.288,3294.4,1988,113.199,113.6,TS
64,TS_S11,PET,PET_2,Fragment,6452.48,378.109,181.849,8662,2101.6,128.66,60.245,TS
65,TS_S11,PET,PET_3,Fibre,26616.48,1234.146,548.495,8065.6,3805.6,111.251,125.956,TS
66,TS_S11,PET,PET_4,Fragment,5645.92,411.382,190.513,6901.2,4146.4,116.565,63.576,TS
67,TS_S11,PET,PET_5,Fibre,28229.6,1475.128,648.864,9883.2,4203.2,113.199,174.349,TS
68,TS_S11,PET,PET_6,Fibre,68557.6,2652.474,1194.152,8633.6,4231.6,115.346,198.57,TS
69,TS_S11,PET,PET_7,Fibre,36295.2,1779.801,835.269,8775.6,7724.8,125.311,159.736,TS
70,TS_S11,PP,PP_1,Fragment,5645.92,354.582,152.939,8008.8,1789.2,111.801,75.799,TS
71,TS_S11,PP,PP_10,Fragment,2419.68,193.927,89.809,9343.6,5878.8,108.435,28.4,TS
72,TS_S11,PP,PP_11,Fragment,17744.32,515.237,228.968,6219.6,10053.6,119.745,120.491,TS
73,TS_S11,PP,PP_2,Fragment,10485.28,411.382,190.513,3180.8,1846,116.565,85.2,TS
74,TS_S11,PP,PP_3,Fragment,33068.96,856.037,378.903,3010.4,2158.4,102.995,140.166,TS
75,TS_S11,PP,PP_4,Fragment,5645.92,274.255,127.009,2669.6,2982,116.565,56.8,TS
76,TS_S11,PP,PP_5,Fragment,86301.92,1491.764,590.966,1050.8,4458.8,54.782,296.324,TS
77,TS_S11,PP,PP_6,Fragment,806.56,80.327,40.164,6077.6,4146.4,135,28.4,TS
78,TS_S11,PP,PP_7,Fragment,71783.84,1187.091,490.26,6049.2,4203.2,100.008,198.8,TS
79,TS_S11,PP,PP_8,Fragment,6452.48,451.546,200.818,852,5026.8,171.87,56.8,TS
80,TS_S11,PP,PP_9,Fragment,5645.92,387.855,172.75,738.4,5055.2,99.462,56.8,TS
81,TS_S12,PP,PP_1,Rod,1839763.36,16409.407,7455.582,255.6,4913.2,26.955,716.487,TS
82,TS_S12,PP,PP_2,Fragment,3226.24,160.655,80.327,624.8,1874.4,135,56.8,TS
83,TS_S12,PP,PP_3,Fragment,16937.76,468.182,204.795,7582.8,2868.4,56.31,113.6,TS
84,TS_S12,PP,PP_4,Fragment,17744.32,531.873,244.306,7668,6929.6,125.538,114.409,TS
85,TS_S12,PP,PP_5,Fragment,8872.16,337.946,160.655,7270.4,8889.2,45,100.409,TS
86,TS_S13,PE,PE_1,Fragment,7259.04,411.382,165.599,3521.6,1221.2,120.964,88.993,TS
87,TS_S13,PE,PE_2,Fragment,5645.92,297.782,120.491,5935.6,2612.8,45,85.2,TS
88,TS_S13,PE,PE_3,Fragment,16937.76,588.673,234.192,4316.8,7327.2,75.964,113.6,TS
89,TS_S13,PET,PET_1,Fibre,23390.24,1407.4,668.457,7298.8,1334.8,167.735,95.206,TS
90,TS_S13,PET,PET_10,Fibre,67751.04,3568.165,1856.99,5481.2,9059.6,162.35,503.76,TS
