SC_ID,Sex
HKOT110205,F
HKSC071109,Un
HKSC082408,Un
HKSC091708,Un
HKSC100809,F
HKSC101506,M
HKSC101908,M
HKSC102412A,M
HKSC102412B,M
HKSC102706,F
HKSC110312,M
HKSC110602,F
HKSC110602-2,F
HKSC110607,M
HKSC110608,Un
HKSC111501,M
HKSC111501-2,M
HKSC111607,M
HKSC111706,M
HKSC120309,F
HKSC120505,M
HKSC120507,F
HKSC121208,Un
HKSC120907,Un
HKSC122410,Un
HKSC130210,F
HKSC130306,F
HKSC130403,F
HKSC131708,F
HKSC131805,F
HKSC132405,M
HKSC132503,F
HKSC132706,F
HKSC140407,Un
HKSC140606,F
HKSC141008,F
HKSC141502,F
HKSC141504,M
HKSC142408,F
HKSC142409,F
HKSC142507,M
HKSC143004,M
HKSC151601_Hope,M
HKSC150101,F
HKSC150505,M
HKSC150506,F
HKSC150606,F
HKSC151307,Un
HKSC151601,M
HKSC151608,F
HKSC152403,F
HKSC152403-2,F
HKSC162306A,M
HKSC162306B,M
HKSC170506,Un
HKSC170506-2,Un
HKSC170809,F
HKSC171805,Un
HKSC171809,Un
HKSC180902,F
HKSC181702,F
HKTA142401,Un
JMSC140422,F
JMSC140422-2,F
JMSC150121,F
JMSC170201,F
JMSC170219,M
JMSC170512,Un
JMSC170515,M
JMSC170818,Un
JMSC170920,F
MASC160323,F
MASC170718,M
ZHSC150428,Un
ZHSC170308,M
ZHSC170824,M
ZHSC150428,Un
ZHSC150921,Un
ZHSC160302,M
ZHSC160321,F
ZHSC160410,F
ZHSC160423,F
ZHSC160506,F
ZHSC160614,Un
ZHSC160617,F
ZHSC161213,M
ZHSC161214,M
ZHSC170308,Un
ZHSC170407,M
ZHSC170410,Un
ZHSC170502,M
ZHSC170521,F
ZHSC170524,Un
ZHSC170525,Un
ZHSC170530,M
ZHSC170711,F
ZHSC170718,M
ZHSC170805,F
ZHSC170827,F
ZHSC170907,F
ZHSC170920,F
ZHSC171003,F
ZHSC180117,M
ZHSC080819,M
ZHSC091028,M
ZHSC100419,M
ZHSC100716,M
ZHSC100722,M
ZHSC101003,M
ZHSC110505,F
ZHSC110512,M
ZHSC110618,F
ZHSC110819,Un
ZHSC110915,F
ZHSC120920,F
,
,
,
,
,
,
,
,
,
,
,
