Pkey,CSV,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear
1,20160912.csv,HKSC101506,HK,1,1.233,16.8,-15.6,2.3,7.2,1995,1996
2,20160912.csv,HKSC101506,HK,2,1.611,15.4,-15.8,2.4,7.5,1995,1997
3,20160912.csv,HKSC101506,HK,3,1.189,14.8,-15.3,2.3,7,1995,1998
4,20160912.csv,HKSC101506,HK,4,1.428,14.8,-14.7,2.2,6.6,1995,1999
5,20160912.csv,HKSC101506,HK,5,1.216,14.4,-14.8,2.3,6.5,1995,2000
6,20160912.csv,HKSC101506,HK,6,1.069,14.5,-14.2,2.4,6.8,1995,2001
7,20160912.csv,HKSC101506,HK,7,1.292,14.3,-14.2,2.5,7,1995,2002
8,20160912.csv,HKSC101506,HK,8,0.626,13.8,-13.8,2.7,7.8,1995,2003
9,20160912.csv,HKSC101506,HK,9,1.437,14.2,-14.9,2.6,7.4,1995,2004
10,20160912.csv,HKSC101506,HK,10,1.024,13.8,-15.5,2.7,7.6,1995,2005
11,20160912.csv,HKSC101506,HK,11,0.974,14.2,-15.8,2.7,7.8,1995,2006
12,20160912.csv,HKSC101506,HK,12,0.89,13.8,-16,2.6,7.5,1995,2007
13,20160912.csv,HKSC110607,HK,1,2.623,16.1,-14.5,2.7,7.7,2005,2006
14,20160912.csv,HKSC110607,HK,2,1.608,13.6,-14.6,2.6,8.4,2005,2007
15,20160912.csv,HKSC110607,HK,3,1.45,14.1,-14.1,2.8,7.8,2005,2008
16,20160912.csv,HKSC110607,HK,4,0.895,14,-14.2,3.1,8.6,2005,2009
17,20160912.csv,HKSC110607,HK,5,1.033,14.1,-14.6,3.2,8.8,2005,2010
18,20160912.csv,HKSC110607,HK,6,1.435,14.1,-14.6,3.1,8.7,2005,2011
19,20160912.csv,HKSC120309,HK,1,3.957,16.7,-14.4,2.2,6.3,1992,1993
20,20160912.csv,HKSC120309,HK,2,3.646,14.3,-14.4,2.3,6.5,1992,1994
21,20160912.csv,HKSC120309,HK,3,3.516,14.2,-14.2,2.4,6.9,1992,1995
22,20160912.csv,HKSC120309,HK,4,2.751,14,-14.2,2.2,6.3,1992,1996
23,20160912.csv,HKSC120309,HK,5,2.083,14.1,-13.8,2.4,6.8,1992,1997
24,20160912.csv,HKSC120309,HK,6,2.071,13.9,-14.2,2.3,6.6,1992,1998
25,20160912.csv,HKSC120309,HK,7,1.425,13.7,-14,2.3,6.6,1992,1999
26,20160912.csv,HKSC120309,HK,9,0.796,13.8,-13.8,2.5,7.1,1992,2001
27,20160912.csv,HKSC141502,HK,2,2.438,14.9,-14,2,5.5,1991,1993
28,20160912.csv,HKSC141502,HK,3,1.275,13.6,-14,2.1,5.6,1991,1994
29,20160912.csv,HKSC141502,HK,4,1.181,13.6,-14.2,2.2,6,1991,1995
30,20160912.csv,HKSC141502,HK,5,1.319,13.2,-14.3,2.1,5.6,1991,1996
31,20160912.csv,HKSC141502,HK,6,1.191,13.3,-14.1,2.1,5.9,1991,1997
32,20160912.csv,HKSC141502,HK,7,0.961,13.3,-14.5,2.4,6.8,1991,1998
33,20160912.csv,HKSC141502,HK,9,0.942,13.4,-14,2.3,6.5,1991,2000
34,20160912.csv,HKSC141502,HK,10,0.582,11.8,-14.2,2.5,6.8,1991,2001
35,20160912.csv,HKSC141502,HK,11,0.681,12.8,-14,2.5,6.9,1991,2002
36,20160912.csv,HKSC141502,HK,12,0.565,12.4,-14.5,2.4,6.8,1991,2003
37,20160912.csv,HKSC141502,HK,13,0.567,12.2,-14.4,2.5,6.9,1991,2004
38,20160912.csv,HKSC141502,HK,14,0.694,12.5,-14.5,2.4,6.7,1991,2005
39,20160912.csv,HKSC141502,HK,15,0.446,12.1,-14.2,3.1,8.2,1991,2006
40,20160912.csv,HKSC141502,HK,16,0.715,11.5,-14.6,2.9,7.9,1991,2007
41,20160913.csv,HKSC071109,HK,1,2.225,17.2,-14.5,1.9,5,1982,1983
42,20160913.csv,HKSC071109,HK,2,2.022,14.4,-13.1,2.7,7.1,1982,1984
43,20160913.csv,HKSC071109,HK,3,2.064,14.1,-13.1,6.1,16.7,1982,1985
44,20160913.csv,HKSC071109,HK,4,2.086,13.6,-12.7,2.5,6.8,1982,1986
45,20160913.csv,HKSC071109,HK,5,1.952,13.3,-12.9,2.6,7.1,1982,1987
46,20160913.csv,HKSC071109,HK,6,1.935,13.2,-12.6,2.3,6.3,1982,1988
47,20160913.csv,HKSC071109,HK,7,1.506,12.6,-13.1,2.5,7.1,1982,1989
48,20160913.csv,HKSC071109,HK,8,1.606,13.7,-12.7,2.6,7.3,1982,1990
49,20160913.csv,HKSC071109,HK,9,1.405,13.9,-12.6,2.7,7.5,1982,1991
50,20160913.csv,HKSC071109,HK,10,1.005,13.3,-12.9,2.5,7,1982,1992
51,20160913.csv,HKSC071109,HK,11,1.066,13.3,-12.9,2.5,7,1982,1993
52,20160913.csv,HKSC071109,HK,12,0.908,12.7,-13.2,2.4,6.7,1982,1994
53,20160913.csv,HKSC071109,HK,13,1.029,13.2,-13,2.3,6.5,1982,1995
54,20160913.csv,HKSC071109,HK,14,0.87,12.9,-13.1,2.5,7,1982,1996
55,20160913.csv,HKSC071109,HK,15,0.786,13.4,-12.7,2.6,7.1,1982,1997
56,20160913.csv,HKSC120507,HK,1,0.892,16.3,-17.3,2.6,7,2006,2007
57,20160913.csv,HKSC120507,HK,2,1.696,16.1,-17.5,2.3,6.3,2006,2008
58,20160913.csv,HKSC120507,HK,3,1.727,15.5,-17.3,2.4,6.6,2006,2009
59,20160913.csv,HKSC120507,HK,4,0.88,14.6,-17,1.1,3.1,2006,2010
60,20160913.csv,HKSC120507,HK,5,1.147,15.2,-17.2,2.6,7.2,2006,2011
61,20160913.csv,HKSC130403,HK,1,1.737,15.6,-13.2,2.2,6,1996,1997
62,20160913.csv,HKSC130403,HK,2,2.999,14,-15.9,2.8,7.7,1996,1998
63,20160913.csv,HKSC130403,HK,5,1.342,13.5,-13.5,2.7,7.4,1996,2001
64,20160913.csv,HKSC130403,HK,6,1.164,13.1,-13.7,2.7,7.6,1996,2002
65,20160913.csv,HKSC130403,HK,7,1.167,13.4,-13.4,2.7,7.6,1996,2003
66,20160913.csv,HKSC130403,HK,8,1.152,13.8,-13.7,2.6,7.3,1996,2004
67,20160913.csv,HKSC130403,HK,9,1.113,13.9,-13.5,2.6,7.3,1996,2005
68,20160913.csv,HKSC130403,HK,10,0.95,13.6,-13.6,2.7,7.5,1996,2006
69,20160913.csv,HKSC130403,HK,11,1.025,13.5,-14.2,2.7,7.4,1996,2007
70,20160913.csv,HKSC130403,HK,12,0.571,13.1,-13.9,2.8,7.7,1996,2008
71,20160913.csv,HKSC130403,HK,13,0.687,13.8,-14,2.7,7.4,1996,2009
72,20160920.csv,HKSC102412B,HK,1,1.242,17.8,-16,2.4,6.4,2003,2004
73,20160920.csv,HKSC102412B,HK,2,2.069,17.3,-15.4,2.7,7.3,2003,2005
74,20160920.csv,HKSC102412B,HK,3,1.896,16.3,-15.1,2.8,7.5,2003,2006
75,20160920.csv,HKSC102412B,HK,4,2.031,15.6,-16.3,2.8,7.7,2003,2007
76,20160920.csv,HKSC102412B,HK,5,1.733,15.4,-16.2,3,8.3,2003,2008
77,20160920.csv,HKSC102412B,HK,6,0.649,13.8,-16.4,3.3,8.8,2003,2009
78,20160920.csv,HKSC111501,HK,0,0.856,17.4,-14.4,2.7,7.1,2007,2007
79,20160920.csv,HKSC111501,HK,1,1.406,16.7,-14.4,2.8,7.8,2007,2008
80,20160920.csv,HKSC111501,HK,2,1.627,15.5,-14.3,2.9,7.8,2007,2009
81,20160920.csv,HKSC111501,HK,3,1.217,15.1,-13.8,2.9,7.8,2007,2010
82,20160920.csv,HKSC111501,HK,4,0.628,14.3,-13.8,3,8.2,2007,2011
83,20171006.csv,HKSC111501-2,HK,1,2.308,18.4,-15.4,1.4,4.8,2007,2008
84,20171006.csv,HKSC111501-2,HK,2,2.51,16.5,-15,1.6,5.6,2007,2009
85,20171006.csv,HKSC111501-2,HK,3,2.169,16.6,-16,1.8,7.1,2007,2010
86,20160920.csv,HKSC132405,HK,1,1.17,15,-15.8,2.8,7.5,1997,1998
87,20160920.csv,HKSC132405,HK,2,1.903,13.9,-16.1,2.7,7.4,1997,1999
88,20160920.csv,HKSC132405,HK,3,2.036,13.9,-16,2.5,7.1,1997,2000
