"","SC_ID","Pkey","GLG","Weight","d15N","d13C","N_per","C_per","YOB","CalenderYear","CNRatio","CNR","Site","AgeClass","sample_per_ID","Net_d15N","Weaning","Species","Sex","Lat","Lon","TBL","Region"
"1","HKSC071109",41,1,2.225,17.2,-14.5,1.9,5,1982,1983,2.63157894736842,"U","HK","Juvenile",15,0,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"2","HKSC071109",42,2,2.022,14.4,-13.1,2.7,7.1,1982,1984,2.62962962962963,"U","HK","Juvenile",15,-2.8,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"3","HKSC071109",43,3,2.064,14.1,-13.1,6.1,16.7,1982,1985,2.73770491803279,"U","HK","Juvenile",15,-3.1,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"4","HKSC071109",44,4,2.086,13.6,-12.7,2.5,6.8,1982,1986,2.72,"U","HK","Juvenile",15,-3.6,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"5","HKSC071109",45,5,1.952,13.3,-12.9,2.6,7.1,1982,1987,2.73076923076923,"U","HK","Juvenile",15,-3.9,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"6","HKSC071109",46,6,1.935,13.2,-12.6,2.3,6.3,1982,1988,2.73913043478261,"U","HK","Juvenile",15,-4,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"7","HKSC071109",47,7,1.506,12.6,-13.1,2.5,7.1,1982,1989,2.84,"U","HK","Juvenile",15,-4.6,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"8","HKSC071109",48,8,1.606,13.7,-12.7,2.6,7.3,1982,1990,2.80769230769231,"U","HK","Juvenile",15,-3.5,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"9","HKSC071109",49,9,1.405,13.9,-12.6,2.7,7.5,1982,1991,2.77777777777778,"U","HK","Juvenile",15,-3.3,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"10","HKSC071109",50,10,1.005,13.3,-12.9,2.5,7,1982,1992,2.8,"U","HK","Juvenile",15,-3.9,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
