,SC_ID,Pkey,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning,Species,Sex,Lat,Lon,TBL,Region
1,HKSC101506,1,1,1.233,16.8,-15.6,2.3,7.2,1995,1996,3.130434783,U,HK,Juvenile,12,0,Y,SC,M,22.21716667,113.9998611,264,EPRE
2,HKSC101506,2,2,1.611,15.4,-15.8,2.4,7.5,1995,1997,3.125,U,HK,Juvenile,12,-1.4,Y,SC,M,22.21716667,113.9998611,264,EPRE
3,HKSC101506,3,3,1.189,14.8,-15.3,2.3,7,1995,1998,3.043478261,U,HK,Juvenile,12,-2,Y,SC,M,22.21716667,113.9998611,264,EPRE
4,HKSC101506,4,4,1.428,14.8,-14.7,2.2,6.6,1995,1999,3,U,HK,Juvenile,12,-2,Y,SC,M,22.21716667,113.9998611,264,EPRE
5,HKSC101506,5,5,1.216,14.4,-14.8,2.3,6.5,1995,2000,2.826086957,U,HK,Juvenile,12,-2.4,Y,SC,M,22.21716667,113.9998611,264,EPRE
6,HKSC101506,6,6,1.069,14.5,-14.2,2.4,6.8,1995,2001,2.833333333,U,HK,Juvenile,12,-2.3,Y,SC,M,22.21716667,113.9998611,264,EPRE
7,HKSC101506,7,7,1.292,14.3,-14.2,2.5,7,1995,2002,2.8,U,HK,Juvenile,12,-2.5,Y,SC,M,22.21716667,113.9998611,264,EPRE
8,HKSC101506,8,8,0.626,13.8,-13.8,2.7,7.8,1995,2003,2.888888889,U,HK,Juvenile,12,-3,Y,SC,M,22.21716667,113.9998611,264,EPRE
9,HKSC101506,9,9,1.437,14.2,-14.9,2.6,7.4,1995,2004,2.846153846,U,HK,Juvenile,12,-2.6,Y,SC,M,22.21716667,113.9998611,264,EPRE
10,HKSC101506,10,10,1.024,13.8,-15.5,2.7,7.6,1995,2005,2.814814815,U,HK,Juvenile,12,-3,Y,SC,M,22.21716667,113.9998611,264,EPRE
11,HKSC101506,11,11,0.974,14.2,-15.8,2.7,7.8,1995,2006,2.888888889,U,HK,Adult,12,-2.6,Y,SC,M,22.21716667,113.9998611,264,EPRE
12,HKSC101506,12,12,0.89,13.8,-16,2.6,7.5,1995,2007,2.884615385,U,HK,Adult,12,-3,Y,SC,M,22.21716667,113.9998611,264,EPRE
13,HKSC101908,141,1,0.672,13.9,-14.9,2.3,6,1992,1993,2.608695652,U,HK,Juvenile,15,0,Y,SC,M,22.41066667,114.2140556,250,EPRE
14,HKSC101908,142,2,0.627,11.8,-14.9,2.3,5.8,1992,1994,2.52173913,U,HK,Juvenile,15,-2.1,Y,SC,M,22.41066667,114.2140556,250,EPRE
15,HKSC101908,143,3,0.729,12.3,-14.5,2.3,6,1992,1995,2.608695652,U,HK,Juvenile,15,-1.6,Y,SC,M,22.41066667,114.2140556,250,EPRE
16,HKSC101908,144,4,0.803,12.5,-14.6,2.2,5.8,1992,1996,2.636363636,U,HK,Juvenile,15,-1.4,Y,SC,M,22.41066667,114.2140556,250,EPRE
17,HKSC101908,145,5,0.602,12.3,-14.6,2.3,6,1992,1997,2.608695652,U,HK,Juvenile,15,-1.6,Y,SC,M,22.41066667,114.2140556,250,EPRE
18,HKSC101908,146,6,0.609,10.4,-14.6,2.7,6.2,1992,1998,2.296296296,U,HK,Juvenile,15,-3.5,Y,SC,M,22.41066667,114.2140556,250,EPRE
19,HKSC101908,147,7,0.803,13.7,-15.3,2.3,6.2,1992,1999,2.695652174,U,HK,Juvenile,15,-0.2,Y,SC,M,22.41066667,114.2140556,250,EPRE
