,Pkey,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning
27,41,HKSC071109,EPRE,1,2.225,17.2,-14.5,1.9,5,1982,1983,2.631578947,U,HK,Juvenile,15,0,Y
28,42,HKSC071109,EPRE,2,2.022,14.4,-13.1,2.7,7.1,1982,1984,2.62962963,U,HK,Juvenile,15,-2.8,Y
29,43,HKSC071109,EPRE,3,2.064,14.1,-13.1,6.1,16.7,1982,1985,2.737704918,U,HK,Juvenile,15,-3.1,Y
30,44,HKSC071109,EPRE,4,2.086,13.6,-12.7,2.5,6.8,1982,1986,2.72,U,HK,Juvenile,15,-3.6,Y
31,45,HKSC071109,EPRE,5,1.952,13.3,-12.9,2.6,7.1,1982,1987,2.730769231,U,HK,Juvenile,15,-3.9,Y
32,46,HKSC071109,EPRE,6,1.935,13.2,-12.6,2.3,6.3,1982,1988,2.739130435,U,HK,Juvenile,15,-4,Y
33,47,HKSC071109,EPRE,7,1.506,12.6,-13.1,2.5,7.1,1982,1989,2.84,U,HK,Juvenile,15,-4.6,Y
34,48,HKSC071109,EPRE,8,1.606,13.7,-12.7,2.6,7.3,1982,1990,2.807692308,U,HK,Juvenile,15,-3.5,Y
35,49,HKSC071109,EPRE,9,1.405,13.9,-12.6,2.7,7.5,1982,1991,2.777777778,U,HK,Juvenile,15,-3.3,Y
36,50,HKSC071109,EPRE,10,1.005,13.3,-12.9,2.5,7,1982,1992,2.8,U,HK,Adult,15,-3.9,Y
37,51,HKSC071109,EPRE,11,1.066,13.3,-12.9,2.5,7,1982,1993,2.8,U,HK,Adult,15,-3.9,Y
38,52,HKSC071109,EPRE,12,0.908,12.7,-13.2,2.4,6.7,1982,1994,2.791666667,U,HK,Adult,15,-4.5,Y
39,53,HKSC071109,EPRE,13,1.029,13.2,-13,2.3,6.5,1982,1995,2.826086957,U,HK,Adult,15,-4,Y
40,54,HKSC071109,EPRE,14,0.87,12.9,-13.1,2.5,7,1982,1996,2.8,U,HK,Adult,15,-4.3,Y
41,55,HKSC071109,EPRE,15,0.786,13.4,-12.7,2.6,7.1,1982,1997,2.730769231,U,HK,Adult,15,-3.8,Y
1,1,HKSC101506,EPRE,1,1.233,16.8,-15.6,2.3,7.2,1995,1996,3.130434783,U,HK,Juvenile,12,0,Y
2,2,HKSC101506,EPRE,2,1.611,15.4,-15.8,2.4,7.5,1995,1997,3.125,U,HK,Juvenile,12,-1.4,Y
3,3,HKSC101506,EPRE,3,1.189,14.8,-15.3,2.3,7,1995,1998,3.043478261,U,HK,Juvenile,12,-2,Y
4,4,HKSC101506,EPRE,4,1.428,14.8,-14.7,2.2,6.6,1995,1999,3,U,HK,Juvenile,12,-2,Y
5,5,HKSC101506,EPRE,5,1.216,14.4,-14.8,2.3,6.5,1995,2000,2.826086957,U,HK,Juvenile,12,-2.4,Y
6,6,HKSC101506,EPRE,6,1.069,14.5,-14.2,2.4,6.8,1995,2001,2.833333333,U,HK,Juvenile,12,-2.3,Y
7,7,HKSC101506,EPRE,7,1.292,14.3,-14.2,2.5,7,1995,2002,2.8,U,HK,Juvenile,12,-2.5,Y
8,8,HKSC101506,EPRE,8,0.626,13.8,-13.8,2.7,7.8,1995,2003,2.888888889,U,HK,Juvenile,12,-3,Y
9,9,HKSC101506,EPRE,9,1.437,14.2,-14.9,2.6,7.4,1995,2004,2.846153846,U,HK,Juvenile,12,-2.6,Y
10,10,HKSC101506,EPRE,10,1.024,13.8,-15.5,2.7,7.6,1995,2005,2.814814815,U,HK,Adult,12,-3,Y
